lb_code,ksmart_lb_code,lb_type,district_name,lb_name,ksmart_name,match_method,ward_agreement,wards_ours,wards_ksmart
G01050,G010407,Grama Panchayat,THIRUVANANTHAPURAM,Peringammala,Peringammala,exact,0.947,19,19
G01051,G010401,Grama Panchayat,THIRUVANANTHAPURAM,Kallara,Kallara,exact,1.000,18,18
G01052,G010405,Grama Panchayat,THIRUVANANTHAPURAM,Pangode,Pangode,exact,0.947,19,19
G01053,G010208,Grama Panchayat,THIRUVANANTHAPURAM,Pulimath,Pulimath,exact,1.000,20,20
G01054,G010203,Grama Panchayat,THIRUVANANTHAPURAM,Karavaram,Karavaram,exact,0.950,20,20
G01055,G010206,Grama Panchayat,THIRUVANANTHAPURAM,Nagaroor,Nagaroor,exact,1.000,18,18
G01056,G010202,Grama Panchayat,THIRUVANANTHAPURAM,Pazhayakunnummel,Pazhayakunnummel,exact,1.000,17,17
G01057,G010201,Grama Panchayat,THIRUVANANTHAPURAM,Kilimanoor,Kilimanoor,exact,1.000,16,16
G01058,G010207,Grama Panchayat,THIRUVANANTHAPURAM,Navayikulam,Navaikulam,fuzzy,1.000,24,24
G01059,G010204,Grama Panchayat,THIRUVANANTHAPURAM,Madavoor,Madavoor,exact,1.000,16,16
G01060,G010205,Grama Panchayat,THIRUVANANTHAPURAM,Pallikkal,Pallickal,fuzzy,1.000,14,14
G01061,G010301,Grama Panchayat,THIRUVANANTHAPURAM,Anchuthengu,Anjuthengu,fuzzy,1.000,14,14
G01062,G010302,Grama Panchayat,THIRUVANANTHAPURAM,Vakkom,Vakkom,exact,1.000,14,14
G01063,G010303,Grama Panchayat,THIRUVANANTHAPURAM,Chirayinkeezhu,Chirayinkeezhu,exact,1.000,19,19
G01064,G010304,Grama Panchayat,THIRUVANANTHAPURAM,Kizhuvilam,Kizhuvilam,exact,0.952,21,21
G01065,G010305,Grama Panchayat,THIRUVANANTHAPURAM,Mudakkal,Mudakkal,exact,1.000,22,22
G01066,G010306,Grama Panchayat,THIRUVANANTHAPURAM,Kadakkavoor,Kadakkavoor,exact,1.000,17,17
G01067,G010107,Grama Panchayat,THIRUVANANTHAPURAM,Vettoor,Vettoor,exact,0.933,15,15
G01068,G010106,Grama Panchayat,THIRUVANANTHAPURAM,Cherunniyoor,Cherunniyoor,exact,0.800,15,15
