pdf_id,gcs_path,gcs_bucket,file_size_bytes,bucket,year_label,lb_type_label,district_name,local_body_name,project_no,era
6b28405d-58ca-4f14-b725-2859b657b251,pdfs/2023-2024/Block_Panchayat/Wayanad/Kalpetta_Block_Panchayat/82.pdf,your-pdf-bucket,192714,top,2023-2024,Block Panchayat,Wayanad,Kalpetta Block Panchayat,82,2021-2026
3955679f-bd0e-4ccf-8d24-1de69597a777,pdfs/2021-2022/Block_Panchayat/Palakkad/Attappady_Block_Panchayat/184.pdf,your-pdf-bucket,194814,top,2021-2022,Block Panchayat,Palakkad,Attappady Block Panchayat,184,2021-2026
04728dcf-f83c-4b75-b949-83a249ceb71a,pdfs/2020-2021/Corporation/Kollam/Kollam_Corporation/1372.pdf,your-pdf-bucket,194936,top,2020-2021,Corporation,Kollam,Kollam Corporation,1372,2017-2020
6dd85b39-0c87-4ea5-8f21-e29c72d3381b,pdfs/2019-2020/Corporation/Thiruvananthapuram/Thiruvananthapuram_Corporation/1059.pdf,your-pdf-bucket,193096,top,2019-2020,Corporation,Thiruvananthapuram,Thiruvananthapuram Corporation,1059,2017-2020
c8ea08b0-bc4e-404a-816d-05567ba74a5c,pdfs/2020-2021/Corporation/Ernakulam/Cochin_Corporation/29.pdf,your-pdf-bucket,195112,top,2020-2021,Corporation,Ernakulam,Cochin Corporation,29,2017-2020
0b14588f-097d-4a75-9fd0-6349ebfc7dac,pdfs/2019-2020/Corporation/Kollam/Kollam_Corporation/460.pdf,your-pdf-bucket,198966,top,2019-2020,Corporation,Kollam,Kollam Corporation,460,2017-2020
1906f0cb-d66a-46dd-8e60-612a8604a290,pdfs/2022-2023/Corporation/Thiruvananthapuram/Thiruvananthapuram_Corporation/1286.pdf,your-pdf-bucket,196684,top,2022-2023,Corporation,Thiruvananthapuram,Thiruvananthapuram Corporation,1286,2021-2026
a65dc4af-d4c6-4251-a944-1ddd022d8c63,pdfs/2022-2023/Corporation/Thiruvananthapuram/Thiruvananthapuram_Corporation/983.pdf,your-pdf-bucket,196958,top,2022-2023,Corporation,Thiruvananthapuram,Thiruvananthapuram Corporation,983,2021-2026
0391e142-b170-4bef-923a-1b9dee44b9f3,pdfs/2022-2023/Corporation/Kozhikode/Kozhikkode_Corporation/1590.pdf,your-pdf-bucket,197909,top,2022-2023,Corporation,Kozhikode,Kozhikkode Corporation,1590,2021-2026
de6d93d0-53e0-4866-a4a6-2afde5cd4182,pdfs/2022-2023/Corporation/Kozhikode/Kozhikkode_Corporation/337.pdf,your-pdf-bucket,202540,top,2022-2023,Corporation,Kozhikode,Kozhikkode Corporation,337,2021-2026
0bf75c59-0cc1-4ec2-a67e-dc887b51152f,pdfs/2019-2020/District_Panchayat/Kollam/Kollam_District_Panchayat/32.pdf,your-pdf-bucket,194094,top,2019-2020,District Panchayat,Kollam,Kollam District Panchayat,32,2017-2020
c8d068f2-115e-4945-a5ee-92769ac7b1b8,pdfs/2020-2021/District_Panchayat/Kasargod/Kasargod_District_Panchayat/670.pdf,your-pdf-bucket,199713,top,2020-2021,District Panchayat,Kasargod,Kasargod District Panchayat,670,2017-2020
bfa8c66e-2b23-479b-945d-4e5abcc48e10,pdfs/2020-2021/District_Panchayat/Thiruvananthapuram/Thiruvananthapuram_District_Panchayat/1288.pdf,your-pdf-bucket,211780,top,2020-2021,District Panchayat,Thiruvananthapuram,Thiruvananthapuram District Panchayat,1288,2017-2020
6fda6a3f-42a8-4ec2-9b8d-a6a547da4c74,pdfs/2020-2021/District_Panchayat/Idukki/Idukki_District_Panchayat/266.pdf,your-pdf-bucket,200738,top,2020-2021,District Panchayat,Idukki,Idukki District Panchayat,266,2017-2020
95e5f4c5-1e4d-4366-b887-84c817d01e48,pdfs/2024-2025/District_Panchayat/Alappuzha/Alappuzha_District_Panchayat/945.pdf,your-pdf-bucket,198986,top,2024-2025,District Panchayat,Alappuzha,Alappuzha District Panchayat,945,2021-2026
67430561-fa0e-4457-bde9-f226e49b365a,pdfs/2023-2024/District_Panchayat/Ernakulam/Ernakulam_District_Panchayat/1587.pdf,your-pdf-bucket,193146,top,2023-2024,District Panchayat,Ernakulam,Ernakulam District Panchayat,1587,2021-2026
dfc50ad1-cec3-4177-9998-f4cf0249e509,pdfs/2022-2023/District_Panchayat/Pathanamthitta/Pathanamthitta_District_Panchayat/717.pdf,your-pdf-bucket,197210,top,2022-2023,District Panchayat,Pathanamthitta,Pathanamthitta District Panchayat,717,2021-2026
aceecaf0-5478-4c4c-bf9f-1afaeb1974dd,pdfs/2021-2022/District_Panchayat/Kasargod/Kasargod_District_Panchayat/548.pdf,your-pdf-bucket,196998,top,2021-2022,District Panchayat,Kasargod,Kasargod District Panchayat,548,2021-2026
