pdf_id,page_count,tiles,bucket,n_t,cost_t,n_n,cost_n,out_n,delta,cost_savings
66365ef6-ab80-479e-af2e-01919476823b,12,3,median,4,0.028914,4,0.009846,1640,0,0.019067999999999998
1217429b-088b-445d-a120-efe576e9c351,13,4,median,3,0.029257,3,0.011047,1500,0,0.018209999999999997
8f957593-c12f-4e1d-bc9d-edfa0c3aa4d7,21,6,top,5,0.057081,4,0.016992,2398,-1,0.040089
c8ea08b0-bc4e-404a-816d-05567ba74a5c,21,6,top,4,0.07242,5,0.019302,3168,1,0.053118
b41d2879-b9c9-44c9-92ba-c0f70959597b,22,6,top,6,0.076909,7,0.019376,3192,1,0.057533
b363c1be-aa7c-4984-b7dd-7ad620f76d36,13,4,median,4,0.03562,4,0.012103,1852,0,0.023517
94e19cf5-87f6-4d23-a6f3-797dcfd20944,12,3,median,3,0.028398,3,0.009702,1592,0,0.018695999999999997
4cb422c4-ca49-45a9-bdf4-e13eed3d1ee9,12,3,median,3,0.025128,3,0.025116,6730,0,1.2000000000001593e-05
95b66f05-dd04-4cce-a183-8c2edfd5dd7e,21,6,top,4,0.058632,4,0.017574,2592,0,0.041058
0b14588f-097d-4a75-9fd0-6349ebfc7dac,23,6,top,6,0.059874,6,0.018621,2940,0,0.041253
8ede6387-3c1f-48a1-8e53-df9ca375caf8,21,6,top,5,0.072594,6,0.019179,3127,1,0.053415000000000004
1906f0cb-d66a-46dd-8e60-612a8604a290,22,6,top,5,0.057578,6,0.018755,2985,1,0.038822999999999996
ec3da6f2-1de2-4888-861c-3e19f0b44c90,13,4,median,3,0.031813,3,0.010732,1395,0,0.021081000000000003
5ee435b5-0f71-443a-822b-e3d2cfd05a74,12,3,median,3,0.029442,3,0.008646,1240,0,0.020796000000000002
3beb06c1-f94e-4910-90e7-31a313527e26,12,3,median,3,0.026403,4,0.00951,1528,1,0.016893
da214acc-e83a-42be-8bd3-27f6c30ae9d9,12,3,median,3,0.029196,4,0.010191,1755,1,0.019005
f12025b2-ad47-442b-96c7-51795f86f082,23,6,top,7,0.067092,10,0.019551,3250,3,0.047541
