model,$/1M in,$/1M out,cost / PDF,100-sample $,corpus Standard $,corpus Batch $
gemini-2.5-flash-lite,0.1,0.4,0.00276,0.276,5392.0,2696.0
gemini-2.0-flash,0.1,0.4,0.00276,0.276,5392.0,2696.0
gemini-3.1-flash-lite,0.25,1.5,0.00837,0.837,16327.0,8164.0
gemini-2.5-flash,0.3,2.5,0.01208,1.208,23578.0,11789.0
gemini-3-flash-preview,0.5,3.0,0.01673,1.673,32654.0,16327.0
gemini-3.5-flash,1.5,9.0,0.0502,5.02,97963.0,48981.0
